text,label,clean_text
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
I love this service and fast delivery,positive,i love this service and fast delivery
Amazing app experience and smooth order,positive,amazing app experience and smooth order
Great support team helped quickly,positive,great support team helped quickly
Worst delivery ever and rude staff,negative,worst delivery ever and rude staff
Very bad app crashes often,negative,very bad app crashes often
I hate the poor customer support,negative,i hate the poor customer support
The service was okay nothing special,neutral,the service was okay nothing special
Average experience today,neutral,average experience today
Product is fine and acceptable,neutral,product is fine and acceptable
